date,value
1942-1-1,556
1942-2-1,528
1942-3-1,545
1942-4-1,607
1942-5-1,701
1942-6-1,785
1942-7-1,874
1942-8-1,950
1942-9-1,1006
1942-10-1,1093
1942-11-1,1135
1942-12-1,1070
1943-1-1,891
1943-2-1,757
1943-3-1,874
1943-4-1,1028
1943-5-1,1168
1943-6-1,1257
1943-7-1,1294
1943-8-1,1305
1943-9-1,1273
1943-10-1,1203
1943-11-1,1100
1943-12-1,978
1944-1-1,846
1944-2-1,731
1944-3-1,763
1944-4-1,844
1944-5-1,981
1944-6-1,1086
1944-7-1,1147
1944-8-1,1171
1944-9-1,1207
1944-10-1,1238
1944-11-1,1241
1944-12-1,1171
1945-1-1,1077
1945-2-1,1031
1945-3-1,1089
1945-4-1,1276
1945-5-1,1499
1945-6-1,1703
1945-7-1,1827
1945-8-1,1898
1945-9-1,1900
1945-10-1,1785
1945-11-1,1614
1945-12-1,1427
1946-1-1,1289
1946-2-1,1188
1946-3-1,1229
1946-4-1,1288
1946-5-1,1324
1946-6-1,1399
1946-7-1,1428
1946-8-1,1409
1946-9-1,1400
1946-10-1,1397
1946-11-1,1330
1946-12-1,1200
1947-1-1,1015
1947-2-1,963
1947-3-1,1149
1947-4-1,1234
1947-5-1,1346
1947-6-1,1437
1947-7-1,1472
1947-8-1,1486
1947-9-1,1473
1947-10-1,1481
1947-11-1,1438
1947-12-1,1309
1948-1-1,1131
1948-2-1,1057
1948-3-1,1206
1948-4-1,1363
1948-5-1,1431
1948-6-1,1570
1948-7-1,1577
1948-8-1,1550
1948-9-1,1514
1948-10-1,1481
1948-11-1,1420
1948-12-1,1294
1949-1-1,1104
1949-2-1,1029
1949-3-1,1167
1949-4-1,1347
1949-5-1,1517
1949-6-1,1627
1949-7-1,1717
1949-8-1,1770
1949-9-1,1783
1949-10-1,1759
1949-11-1,1717
1949-12-1,1650
1950-1-1,1473
1950-2-1,1379
1950-3-1,1562
1950-4-1,1753
1950-5-1,1925
1950-6-1,2064
1950-7-1,2098
1950-8-1,2082
1950-9-1,2051
1950-10-1,1983
1950-11-1,1851
1950-12-1,1656
1951-1-1,1392
1951-2-1,1305
1951-3-1,1457
1951-4-1,1618
1951-5-1,1753
1951-6-1,1884
1951-7-1,1908
1951-8-1,1895
1951-9-1,1860
1951-10-1,1798
1951-11-1,1741
1951-12-1,1567
1952-1-1,1324
1952-2-1,1206
1952-3-1,1350
1952-4-1,1486
1952-5-1,1604
1952-6-1,1718
1952-7-1,1767
1952-8-1,1796
1952-9-1,1787
1952-10-1,1761
1952-11-1,1694
1952-12-1,1513
1953-1-1,1292
1953-2-1,1192
1953-3-1,1302
1953-4-1,1421
1953-5-1,1550
1953-6-1,1702
1953-7-1,1804
1953-8-1,1876
1953-9-1,1907
1953-10-1,1954
1953-11-1,1957
1953-12-1,1832
1954-1-1,1606
1954-2-1,1493
1954-3-1,1676
1954-4-1,1907
1954-5-1,2091
1954-6-1,2253
1954-7-1,2350
1954-8-1,2358
1954-9-1,2310
1954-10-1,2232
1954-11-1,2092
1954-12-1,1883
1955-1-1,1588
1955-2-1,1408
1955-3-1,1613
1955-4-1,1804
1955-5-1,1935
1955-6-1,2112
1955-7-1,2039
1955-8-1,1982
1955-9-1,1931
1955-10-1,1860
1955-11-1,1790
1955-12-1,1644
1956-1-1,1378
1956-2-1,1221
1956-3-1,1459
1956-4-1,1720
1956-5-1,1860
1956-6-1,2059
1956-7-1,2053
1956-8-1,2053
1956-9-1,2055
1956-10-1,2041
1956-11-1,1974
1956-12-1,1807
1957-1-1,1543
1957-2-1,1368
1957-3-1,1605
1957-4-1,1906
1957-5-1,2141
1957-6-1,2377
1957-7-1,2357
1957-8-1,2377
1957-9-1,2330
1957-10-1,2210
1957-11-1,2113
1957-12-1,1965
1958-1-1,1686
1958-2-1,1492
1958-3-1,1666
1958-4-1,1950
1958-5-1,2206
1958-6-1,2421
1958-7-1,2517
1958-8-1,2553
1958-9-1,2516
1958-10-1,2500
1958-11-1,2450
1958-12-1,2230
1959-1-1,1867
1959-2-1,1678
1959-3-1,1866
1959-4-1,2068
1959-5-1,2191
1959-6-1,2385
1959-7-1,2518
1959-8-1,2541
1959-9-1,2439
1959-10-1,2327
1959-11-1,2260
1959-12-1,2118
1960-1-1,1834
1960-2-1,1639
1960-3-1,1782
1960-4-1,2000
1960-5-1,2203
1960-6-1,2429
1960-7-1,2550
1960-8-1,2561
1960-9-1,2473
1960-10-1,2377
1960-11-1,2284
1960-12-1,2136
1961-1-1,1848
1961-2-1,1644
1961-3-1,1781
1961-4-1,1979
1961-5-1,2124
1961-6-1,2287
1961-7-1,2387
1961-8-1,2351
1961-9-1,2202
1961-10-1,1978
1961-11-1,1785
1961-12-1,1614
1962-1-1,1368
1962-2-1,1248
1962-3-1,1405
1962-4-1,1613
1962-5-1,1836
1962-6-1,2107
1962-7-1,2336
1962-8-1,2471
1962-9-1,2446
1962-10-1,2375
1962-11-1,2310
1962-12-1,2191
1963-1-1,1859
1963-2-1,1655
1963-3-1,1885
1963-4-1,2262
1963-5-1,2518
1963-6-1,2628
1963-7-1,2721
1963-8-1,2790
1963-9-1,2780
1963-10-1,2678
1963-11-1,2593
1963-12-1,2454
1964-1-1,2133
1964-2-1,1940
1964-3-1,2195
1964-4-1,2540
1964-5-1,2810
1964-6-1,2962
1964-7-1,2974
1964-8-1,2880
1964-9-1,2763
1964-10-1,2648
1964-11-1,2482
1964-12-1,2288
